datetime,demand_mw,actual_risk_label,predicted_risk_label,risk_score
2018-02-02 01:00:00,27990.0,Low,Low,0.02
2018-02-02 02:00:00,27410.0,Low,Low,0.0
2018-02-02 03:00:00,27233.0,Low,Low,0.0
2018-02-02 04:00:00,27380.0,Low,Low,0.0
2018-02-02 05:00:00,28420.0,Low,Low,0.0
2018-02-02 06:00:00,30977.0,Low,Low,0.02
2018-02-02 07:00:00,34590.0,Medium,Low,0.07
2018-02-02 08:00:00,36938.0,Medium,Medium,1.5
2018-02-02 09:00:00,37175.0,Medium,Medium,2.56
2018-02-02 10:00:00,36707.0,Medium,Medium,3.64
2018-02-02 11:00:00,36691.0,Medium,Medium,3.71
2018-02-02 12:00:00,36703.0,Medium,Medium,3.93
2018-02-02 13:00:00,36622.0,Medium,Medium,3.87
